age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,income,region,net_capital,has_capital_activity,employment_type
25,Private,226802,11th Grade,Never Married,Machine Operator / Inspector,Own-child,Black,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
38,Private,89814,High School Graduate,Married (Civilian Spouse),Farming / Fishing,Married,White,Male,0,0,50,<=50K,US & Canada,0,0,Overtime
28,Local Government,336951,Associate's Degree (Academic),Married (Civilian Spouse),Protective Service,Married,White,Male,0,0,40,>50K,US & Canada,0,0,Full_time
44,Private,160323,College,Married (Civilian Spouse),Machine Operator / Inspector,Married,Black,Male,7688,0,40,>50K,US & Canada,7688,1,Full_time
18,,103497,College,Never Married,,Own-child,White,Female,0,0,30,<=50K,US & Canada,0,0,Part_time
34,Private,198693,10th Grade,Never Married,Other Service,Not-in-family,White,Male,0,0,30,<=50K,US & Canada,0,0,Part_time
29,,227026,High School Graduate,Never Married,,Unmarried,Black,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
63,Self-Employed (Not Incorporated),104626,Professional School,Married (Civilian Spouse),Professional Specialty,Married,White,Male,3103,0,32,>50K,US & Canada,3103,1,Part_time
24,Private,369667,College,Never Married,Other Service,Unmarried,White,Female,0,0,40,<=50K,US & Canada,0,0,Full_time
55,Private,104996,7th to 8th Grade,Married (Civilian Spouse),Craft / Repair,Married,White,Male,0,0,10,<=50K,US & Canada,0,0,Part_time
65,Private,184454,High School Graduate,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,6418,0,40,>50K,US & Canada,6418,1,Full_time
36,Federal Government,212465,Bachelor's Degree,Married (Civilian Spouse),Administrative / Clerical,Married,White,Male,0,0,40,<=50K,US & Canada,0,0,Full_time
26,Private,82091,High School Graduate,Never Married,Administrative / Clerical,Not-in-family,White,Female,0,0,39,<=50K,US & Canada,0,0,Full_time
58,,299831,High School Graduate,Married (Civilian Spouse),,Married,White,Male,0,0,35,<=50K,US & Canada,0,0,Full_time
48,Private,279724,High School Graduate,Married (Civilian Spouse),Machine Operator / Inspector,Married,White,Male,3103,0,48,>50K,US & Canada,3103,1,Overtime
43,Private,346189,Master's Degree,Married (Civilian Spouse),Executive / Managerial,Married,White,Male,0,0,50,>50K,US & Canada,0,0,Overtime
20,State Government,444554,College,Never Married,Other Service,Own-child,White,Male,0,0,25,<=50K,US & Canada,0,0,Part_time
43,Private,128354,High School Graduate,Married (Civilian Spouse),Administrative / Clerical,Married,White,Female,0,0,30,<=50K,US & Canada,0,0,Part_time
37,Private,60548,High School Graduate,Widowed,Machine Operator / Inspector,Unmarried,White,Female,0,0,20,<=50K,US & Canada,0,0,Part_time
34,Private,107914,Bachelor's Degree,Married (Civilian Spouse),Technical Support,Married,White,Male,0,0,47,>50K,US & Canada,0,0,Overtime
34,Private,238588,College,Never Married,Other Service,Own-child,Black,Female,0,0,35,<=50K,US & Canada,0,0,Full_time
